NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	1	11.338248252868652	0.021342112	Yes	
row_1	IFITM1	4	11.293049812316895	0.042523675	Yes	
row_2	IFI6	29	10.56299114227295	0.060672436	Yes	
row_3	BST2	37	10.366141319274902	0.07972727	Yes	
row_4	IFI44L	48	10.118085861206055	0.098088026	Yes	
row_5	IFITM3	52	10.049569129943848	0.116845556	Yes	
row_6	IFIT1	54	10.04953384399414	0.13575336	Yes	
row_7	MX1	57	9.952366828918457	0.15440245	Yes	
row_8	PLSCR1	62	9.814299583435059	0.1726404	Yes	
row_9	IFIT3	88	9.554015159606934	0.1888081	Yes	
row_10	IFIT2	90	9.502788543701172	0.20668313	Yes	
row_11	APOBEC3G	106	9.358504295349121	0.22323324	Yes	
row_12	OAS1	110	9.348076820373535	0.24066569	Yes	
row_13	OAS3	124	9.203524589538574	0.25707337	Yes	
row_14	OAS2	140	9.122269630432129	0.27317724	Yes	
row_15	RTP4	147	9.089801788330078	0.2898963	Yes	
row_16	RSAD2	153	9.057879447937012	0.30663025	Yes	
row_17	OASL	156	9.010950088500977	0.32350108	Yes	
row_18	DHX58	200	8.658288955688477	0.3366237	Yes	
row_19	IRF7	204	8.62109375	0.35268295	Yes	
row_20	DDX60	222	8.53090763092041	0.3675194	Yes	
row_21	DDX58	227	8.49681282043457	0.3832687	Yes	
row_22	IFIH1	228	8.485713005065918	0.3992977	Yes	
row_23	APOBEC3B	238	8.411149978637695	0.41450936	Yes	
row_24	MX2	245	8.374565124511719	0.42987737	Yes	
row_25	STAT1	267	8.214478492736816	0.44381544	Yes	
row_26	NLRC5	268	8.214478492736816	0.4593321	Yes	
row_27	IFIT5	279	8.185748100280762	0.4740428	Yes	
row_28	IFITM2	300	7.960071086883545	0.4875755	Yes	
row_29	SAMHD1	330	7.760688781738281	0.500055	Yes	
row_30	SLFN11	347	7.649830341339111	0.5133023	Yes	
row_31	ISG15	362	7.54296350479126	0.5264982	Yes	
row_32	ZNFX1	373	7.407229423522949	0.5397383	Yes	
row_33	EIF2AK2	381	7.349202632904053	0.55309427	Yes	
row_34	IRF1	388	7.305735111236572	0.5664434	Yes	
row_35	STING1	394	7.270459175109863	0.57980096	Yes	
row_36	TRIM25	407	7.14782190322876	0.5924007	Yes	
row_37	TRIM26	433	6.965139865875244	0.6036782	Yes	
row_38	TLR3	501	6.54319953918457	0.6110015	Yes	
row_39	PML	539	6.295128345489502	0.6201113	Yes	
row_40	TRIM21	573	6.135526657104492	0.62922025	Yes	
row_41	SHFL	575	6.122958660125732	0.640711	Yes	
row_42	BCL2L1	587	6.041097640991211	0.6512954	Yes	
row_43	IFI16	589	6.030374050140381	0.66261125	Yes	
row_44	DDX60L	601	5.967495918273926	0.6730566	Yes	
row_45	SLFN13	610	5.918560028076172	0.68363506	Yes	
row_46	IFNAR2	614	5.911706924438477	0.69457644	Yes	
row_47	APOBEC3C	621	5.874753475189209	0.7052224	Yes	
row_48	TRAF3	631	5.815890312194824	0.71553177	Yes	
row_49	LYST	686	5.511149883270264	0.72188276	Yes	
row_50	TRIM8	709	5.404795169830322	0.73043835	Yes	
row_51	MYD88	729	5.306214809417725	0.7390332	Yes	
row_52	CXCL10	801	4.968137264251709	0.7430806	Yes	
row_53	CGAS	847	4.801401615142822	0.7487675	Yes	
row_54	SKP2	962	4.3466339111328125	0.74840856	Yes	
row_55	APOBEC3F	969	4.329597473144531	0.7561359	Yes	
row_56	IRF2	976	4.307908058166504	0.7638222	Yes	
row_57	TRIM5	1000	4.180973052978516	0.7699909	Yes	
row_58	MOV10	1097	3.8493154048919678	0.7700456	Yes	
row_59	STAT2	1265	3.316704511642456	0.7637571	No	
row_60	ISG20	1369	3.009989023208618	0.76170015	No	
row_61	G3BP1	1541	2.619813919067383	0.7537946	No	
row_62	NCBP1	1558	2.5755615234375	0.75745696	No	
row_63	NT5C3A	1563	2.562016010284424	0.7619958	No	
row_64	TRIM28	1616	2.450254440307617	0.7627153	No	
row_65	DHX15	1692	2.3356378078460693	0.76148933	No	
row_66	CD40	2051	1.7881965637207031	0.73795587	No	
row_67	ATG7	2265	1.5419367551803589	0.7248571	No	
row_68	RIPK3	2408	1.403157114982605	0.7168333	No	
row_69	PTPRC	2729	1.139296293258667	0.6949306	No	
row_70	PMAIP1	2841	1.0667084455490112	0.6886016	No	
row_71	CASP1	2999	0.950153648853302	0.6785945	No	
row_72	CARD8	3227	0.8321918249130249	0.6631027	No	
row_73	TRIM56	3307	0.7933211922645569	0.6586627	No	
row_74	APOBEC3D	3539	0.686524510383606	0.642595	No	
row_75	CHMP3	3886	0.5636040568351746	0.61765045	No	
row_76	NDUFAF4	3897	0.5602551102638245	0.617957	No	
row_77	IL6	3910	0.5566310286521912	0.6181064	No	
row_78	ZMYND11	3956	0.5428918600082397	0.6157492	No	
row_79	MLKL	3970	0.5370367765426636	0.61578643	No	
row_80	FADD	4261	0.45574304461479187	0.5948477	No	
row_81	ATAD3A	4580	0.38093045353889465	0.57166284	No	
row_82	EXOSC4	4670	0.36128002405166626	0.56565505	No	
row_83	MAP3K14	4791	0.3397424817085266	0.5572763	No	
row_84	TRIM13	4879	0.32428833842277527	0.551349	No	
row_85	NLRP1	4913	0.3185853660106659	0.5494701	No	
row_86	TRIM35	4920	0.3166980743408203	0.54961735	No	
row_87	PQBP1	4954	0.31062382459640503	0.5477234	No	
row_88	ZCCHC3	4967	0.30686601996421814	0.547401	No	
row_89	TTC4	5042	0.2964336574077606	0.54239833	No	
row_90	TRIM32	5555	0.2042035311460495	0.5042965	No	
row_91	IRF3	5858	0.15831851959228516	0.4818939	No	
row_92	IFNLR1	5971	0.1456395834684372	0.47374985	No	
row_93	TRIM11	5995	0.14294807612895966	0.47229093	No	
row_94	EXOSC5	6018	0.139628604054451	0.47090092	No	
row_95	TLR2	6212	0.11550678312778473	0.4566111	No	
row_96	PHB2	6320	0.10427221655845642	0.44876477	No	
row_97	ZDHHC1	6416	0.09652583301067352	0.44180587	No	
row_98	SERINC5	7113	0.03431788086891174	0.38955164	No	
row_99	PDE12	7177	0.02933155559003353	0.38487127	No	
row_100	RNF135	7391	0.012002669274806976	0.36888254	No	
row_101	MARCHF2	7672	-0.005970838945358992	0.3478459	No	
row_102	RNASEL	7916	-0.024454332888126373	0.32962555	No	
row_103	IFNE	7972	-0.029258383437991142	0.3255464	No	
row_104	TRIM52	8336	-0.06049605831503868	0.2983736	No	
row_105	SENP7	9035	-0.14444732666015625	0.24617709	No	
row_106	TRIM41	9150	-0.1602817177772522	0.23791036	No	
row_107	MAVS	9711	-0.27389129996299744	0.19633196	No	
row_108	SETD2	9800	-0.2976923882961273	0.19027923	No	
row_109	MICA	10205	-0.4352996349334717	0.16073239	No	
row_110	TBK1	10242	-0.44938239455223083	0.1588751	No	
row_111	BCL2	10593	-0.6119870543479919	0.13372125	No	
row_112	AZI2	10745	-0.6914650797843933	0.12367656	No	
row_113	MID2	10836	-0.7378065586090088	0.11830484	No	
row_114	CLPB	10883	-0.7659488320350647	0.11629381	No	
row_115	RELA	10894	-0.7708337903022766	0.11699816	No	
row_116	AGBL5	10910	-0.7873092293739319	0.11735777	No	
row_117	NCBP3	10933	-0.804630696773529	0.11722391	No	
row_118	RAB2B	11253	-1.0864341259002686	0.09529656	No	
row_119	TBKBP1	11403	-1.250596284866333	0.086458385	No	
row_120	AKAP1	11425	-1.277694582939148	0.08729328	No	
row_121	PYCARD	11440	-1.2989354133605957	0.088694505	No	
row_122	CNOT7	11477	-1.3385276794433594	0.08851674	No	
row_123	SERINC3	11534	-1.4023383855819702	0.086956106	No	
row_124	NMB	11802	-1.7894455194473267	0.0702656	No	
row_125	TANK	11804	-1.7938960790634155	0.07357899	No	
row_126	RNF185	12266	-2.7518463134765625	0.04412323	No	
row_127	DDIT4	12523	-3.5698297023773193	0.031622645	No	
row_128	BNIP3	12974	-5.61716365814209	0.008406177	No	
